City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Bagru,IN,26.8088,75.5423,55.74,55,0,6.42,clear sky
168,Chuy,UY,-33.6971,-53.4616,79.66,72,20,6.82,few clouds
169,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,77,100,10.4,overcast clouds
170,Vao,NC,-22.6667,167.4833,80.28,86,100,17.07,overcast clouds
171,Tabou,CI,4.423,-7.3528,80.15,80,6,7.45,clear sky
172,Lagoa,PT,39.05,-27.9833,58.17,80,82,17.09,broken clouds
173,Vanimo,PG,-2.6741,141.3028,76.82,87,57,4.43,broken clouds
174,Ostrovnoy,RU,68.0531,39.5131,6.28,94,100,12.62,overcast clouds
175,Stephenville,US,32.2207,-98.2023,32.09,81,75,0.0,broken clouds
176,Saint-Augustin,CA,51.226,-58.6502,1.49,78,100,8.48,overcast clouds
177,Abbeville,FR,50.1,1.8333,46.36,76,9,13.91,clear sky
178,Ketchikan,US,55.3422,-131.6461,41.47,96,100,12.59,light rain
179,Pangody,RU,65.85,74.4859,12.04,96,100,2.71,light snow
180,Rincon,US,32.296,-81.2354,70.86,83,100,12.66,heavy intensity rain
181,Barwadih,IN,23.8333,84.1167,50.81,73,0,4.14,clear sky
182,Waitara,NZ,-38.925,174.25,71.22,93,100,17.11,light rain
183,Springhill,US,33.006,-93.4668,37.29,74,100,9.64,overcast clouds
184,Balaghat,IN,21.8,80.1833,55.78,33,2,5.39,clear sky
185,Gidole,ET,5.65,37.3667,69.03,39,96,3.29,overcast clouds
186,Tuatapere,NZ,-46.1333,167.6833,52.83,82,100,2.44,overcast clouds
187,Ola,RU,59.5833,151.2833,-1.97,75,100,11.36,overcast clouds
188,Ambon,ID,-3.6954,128.1814,80.78,78,100,6.71,overcast clouds
189,Mangrol,IN,21.1167,70.1167,65.88,58,3,2.53,clear sky
190,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.05,87,92,17.13,overcast clouds
191,Mwingi,KE,-0.9344,38.0601,70.32,53,95,2.44,overcast clouds
192,Bengkulu,ID,-3.8004,102.2655,73.24,95,100,5.57,overcast clouds
193,Dunedin,NZ,-45.8742,170.5036,52.81,77,100,5.01,overcast clouds
194,Aksay,RU,47.26,39.87,34.25,96,100,8.01,overcast clouds
195,Talcahuano,CL,-36.7167,-73.1167,65.79,70,3,19.01,clear sky
196,Husavik,IS,66.0449,-17.3389,24.87,93,100,12.44,light snow
197,Dolores,AR,-36.3132,-57.6792,79.25,54,99,5.19,overcast clouds
198,Simbahan,PH,6.3032,120.5836,79.72,81,99,12.01,overcast clouds
199,Leningradskiy,RU,69.3833,178.4167,-16.98,91,35,9.69,scattered clouds
200,Bandarbeyla,SO,9.4942,50.8122,74.93,66,0,10.47,clear sky
201,Port Hardy,CA,50.6996,-127.4199,45.75,100,100,5.75,moderate rain
202,Tuchola,PL,53.5879,17.8591,42.35,90,100,13.82,overcast clouds
203,Pevek,RU,69.7008,170.3133,-22.58,100,82,5.41,broken clouds
204,Khor,RU,47.8861,134.9464,-11.24,99,100,4.63,overcast clouds
205,Moose Factory,CA,51.2585,-80.6094,2.79,77,100,5.37,overcast clouds
206,Mamlyutka,KZ,54.9375,68.5394,18.28,81,100,9.06,overcast clouds
207,Pochutla,MX,15.7432,-96.4661,88.83,45,5,9.55,clear sky
208,Opuwo,NA,-18.0607,13.84,71.78,47,70,9.4,broken clouds
209,Charters Towers,AU,-20.1,146.2667,70.81,85,99,9.44,overcast clouds
210,Yerbogachen,RU,61.2767,108.0108,-22.27,100,98,2.64,overcast clouds
211,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,16.11,moderate rain
212,Westport,US,41.1415,-73.3579,37.89,95,100,1.99,light rain
213,Cayenne,GF,4.9333,-52.3333,82.44,85,75,5.01,broken clouds
214,La Ronge,CA,55.1001,-105.2842,-5.48,85,100,6.87,overcast clouds
215,Nouakchott,MR,18.0858,-15.9785,76.93,31,0,7.87,clear sky
216,Araouane,ML,18.9048,-3.5265,68.25,9,0,9.1,clear sky
217,Byron Bay,AU,-28.65,153.6167,68.05,62,100,22.21,overcast clouds
218,Igbo Ora,NG,7.4333,3.2833,83.93,40,0,6.42,clear sky
219,Stornoway,GB,58.2093,-6.3865,39.04,68,40,8.99,scattered clouds
220,Turayf,SA,31.6725,38.6637,42.13,75,10,15.23,clear sky
221,Kaitangata,NZ,-46.2817,169.8464,52.93,65,76,5.7,broken clouds
222,Matara,LK,5.9485,80.5353,74.07,89,44,4.79,scattered clouds
223,Nyurba,RU,63.2842,118.3319,-27.47,99,47,2.82,scattered clouds
224,Jiuquan,CN,39.7432,98.5174,16.77,39,100,4.25,overcast clouds
225,Umm Kaddadah,SD,13.6017,26.6876,64.18,17,7,16.89,clear sky
226,Fortuna,US,40.5982,-124.1573,51.93,84,100,1.01,overcast clouds
227,Moron,AR,-34.6534,-58.6198,83.01,69,100,1.1,moderate rain
228,Aguas Vermelhas,BR,-15.7472,-41.46,73.89,91,98,4.0,heavy intensity rain
229,Hammerfest,NO,70.6634,23.6821,22.73,85,100,34.52,overcast clouds
230,Savannakhet,LA,16.566,104.751,60.8,77,0,12.8,clear sky
231,Grafton,US,42.207,-71.6856,30.78,94,100,9.22,light rain
232,Bambanglipuro,ID,-7.95,110.2833,76.62,88,97,4.92,moderate rain
233,Siavonga,ZM,-16.5382,28.7088,74.82,87,100,6.22,light rain
234,Coihaique,CL,-45.5752,-72.0662,74.01,30,20,6.91,few clouds
235,Kodiak,US,57.79,-152.4072,34.36,80,100,10.54,overcast clouds
236,Qaqortoq,GL,60.7167,-46.0333,4.1,71,16,24.16,few clouds
237,Najran,SA,17.4924,44.1277,68.27,59,7,7.05,clear sky
238,Mahebourg,MU,-20.4081,57.7,80.26,94,75,16.11,broken clouds
239,Karla,EE,59.3723,24.9275,28.11,87,100,16.11,overcast clouds
240,Asau,RO,46.4333,26.4,31.28,82,30,5.95,scattered clouds
241,Keetmanshoop,NA,-26.5833,18.1333,80.62,38,49,20.6,scattered clouds
242,Wangou,CN,42.0623,126.9127,-7.13,98,84,2.95,broken clouds
243,Tazovskiy,RU,67.4667,78.7,4.91,97,96,5.82,overcast clouds
244,Scarborough,GB,54.2797,-0.4044,39.52,82,10,4.0,clear sky
245,Pimentel,PE,-6.8367,-79.9342,74.48,71,12,13.53,few clouds
246,Namibe,AO,-15.1961,12.1522,73.4,73,99,8.63,overcast clouds
247,Marshall,US,34.3834,-86.3333,36.82,81,100,5.01,overcast clouds
248,Naze,JP,28.3667,129.4833,53.51,54,100,16.46,overcast clouds
249,Sisimiut,GL,66.9395,-53.6735,7.25,86,100,25.86,light snow
250,Loiza,PR,18.4313,-65.8802,76.86,83,75,4.61,thunderstorm
251,Dolinsk,RU,47.35,142.8,-0.54,92,100,4.63,overcast clouds
252,Blind River,CA,46.1834,-82.9582,7.47,54,100,3.27,overcast clouds
253,Vila Velha,BR,-20.3297,-40.2925,79.95,82,100,4.0,overcast clouds
254,Isangel,VU,-19.55,169.2667,78.91,89,100,2.3,moderate rain
255,Madisonville,US,37.3281,-87.4989,26.35,81,100,8.99,overcast clouds
256,Altay,CN,47.8667,88.1167,6.58,55,0,9.08,clear sky
257,Wanganui,NZ,-39.9333,175.05,69.75,91,98,1.63,overcast clouds
258,Rio Brilhante,BR,-21.8019,-54.5464,85.84,60,98,9.24,overcast clouds
259,Rorvik,NO,64.8621,11.2373,37.38,60,40,13.8,scattered clouds
260,Soubre,CI,5.7856,-6.6083,82.98,59,100,6.64,overcast clouds
261,Caravelas,BR,-17.7125,-39.2481,77.0,86,100,6.78,moderate rain
262,Sorland,NO,67.667,12.6934,31.86,78,76,28.92,broken clouds
